Cottonking Pvt. Ltd. -WH,,,,,,,,,,,,,,,,,,,,,,
STOCK REPORT,,,,,,,,,,,,,,,,,,,,,,
From Date : 12-Mar-2012 To : 12-Mar-2012,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL RECEIPTS,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD,TOTAL OUTWARD, ,
ITEM CODE,MRP,Basic Product,Product Specification,Size,Design No.,Production Type,OPENING STOCK,INIT QTY.,CUSTOMER RETURN,STOCK TRN IN,GRN QTY.,QDN/ADJ+,PHYSICAL STOCK (STOCK TAKE) EXCESS,TOTAL RECEIPTS,SOLD QTY.,TR OUT QTY,STOCK DELIVERY,QDN/ADJ-,PHYSICAL STOCK (STOCK TAKE) SHORTAGE,TOTAL OUTWARD,BALANCE STOCK,VALUE
0010010000623,695,SHIRT,HALF - SH,39 CM,5379,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000624,695,SHIRT,HALF - SH,40 CM,5379,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000632,595,SHIRT,HALF - SH,39 CM,6196,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000669,595,SHIRT,FULL - SH,40 CM,6382,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000672,595,SHIRT,HALF - SH,39 CM,6382,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000673,595,SHIRT,HALF - SH,40 CM,6382,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000675,550,SHIRT,FULL - SH,39 CM,6341,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000681,550,SHIRT,HALF - SH,39 CM,6341,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000685,595,SHIRT,FULL - SH,39 CM,6323,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000686,595,SHIRT,FULL - SH,40 CM,6323,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000689,595,SHIRT,HALF - SH,39 CM,6323,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000702,695,SHIRT,FULL - SH,39 CM,5381,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000705,695,SHIRT,HALF - SH,39 CM,5381,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010000717,650,SHIRT,HALF - SH,39 CM,6124,IN HOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
